Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",5,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2020/05/23,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,St. Martin's Griffin,Paperback,264,2004,1939,,2020/05/23,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",4,St. Martin's Press,Hardcover,328,2013,2012,,2020/05/23,,,read,,,,1,0
3213286,Let It Snow: Three Holiday Romances,John  Green,"Green, John","Maureen Johnson, Lauren Myracle","=""0142412147""","=""9780142412145""",5,Speak,Paperback,352,2008,2008,,2020/05/23,,,read,,,,1,0
35504431,Turtles All the Way Down,John  Green,"Green, John",,"=""0525555366""","=""9780525555360""",4,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2020/05/23,,,read,,,,1,0
6567017,"Will Grayson, Will Grayson",John  Green,"Green, John",David Levithan,"=""0525421580""","=""9780525421580""",3,Dutton Books,Hardcover,320,2010,2010,,2020/05/23,,,read,,,,1,0
49750,An Abundance of Katherines,John  Green,"Green, John",,"=""0525476881""","=""9780525476887""",3,Dutton Books for Young Readers,Hardcover,229,2006,2006,,2020/05/23,,,read,,,,1,0
6442769,Paper Towns,John  Green,"Green, John",Gázsity Mila,"=""014241493X""","=""9780142414934""",4,Speak,Paperback,305,2009,2008,,2020/05/23,,,read,,,,1,0
11870085,The Fault in Our Stars,John  Green,"Green, John",,"=""""","=""""",4,Dutton Books,Hardcover,313,2012,2012,,2020/05/23,,,read,,,,1,0
25131061,Life in a Fishbowl,Len Vlahos,"Vlahos, Len",,"=""""","=""""",4,Bloomsbury,Hardcover,328,2017,2017,,2020/05/23,,,read,,,,1,0
20801166,A Little Something Different,Sandy  Hall,"Hall, Sandy",,"=""1250061776""","=""9781250061775""",5,Swoon Reads,Unknown Binding,272,2014,2014,,2020/05/23,,,read,,,,1,0
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",3,Simon Pulse,Paperback,370,2005,2005,,2020/05/23,,,read,,,,1,0
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",4,Simon Pulse,Paperback,425,2005,2005,,2020/05/23,,,read,,,,1,0
16143347,We Were Liars,E. Lockhart,"Lockhart, E.",,"=""0385741278""","=""9780385741279""",4,Delacorte Press,Paperback,320,2018,2014,,2020/05/23,,,read,,,,1,0
649361,Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,Jeanne Wakatsuki Houston,"Houston, Jeanne Wakatsuki",James D. Houston,"=""0553272586""","=""9780553272581""",3,Dell,Mass Market Paperback,223,1995,1973,,2020/05/23,,,read,,,,1,0
99561,Looking for Alaska,John  Green,"Green, John",,"=""1435249151""","=""9781435249158""",5,Speak,Paperback,221,2006,2005,,2020/05/23,,,read,,,,1,0
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,Alfred A. Knopf,Kindle Edition,592,2006,2005,,2020/05/23,,,read,,,,1,0
19057,I Am the Messenger,Markus Zusak,"Zusak, Markus",,"=""""","=""""",5,Alfred A. Knopf Borzoi Books,Paperback,357,2006,2002,,2020/05/23,,,read,,,,1,0
46349,Funny in Farsi: A Memoir of Growing Up Iranian in America,Firoozeh Dumas,"Dumas, Firoozeh",,"=""0812968379""","=""9780812968378""",4,Random House Trade Paperbacks,Paperback,240,2004,2003,,2020/05/23,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",5,Riverhead Books,Paperback,371,2004,2003,,2020/05/23,,,read,,,,1,0
18135,Romeo and Juliet,William Shakespeare,"Shakespeare, William",,"=""0743477111""","=""9780743477116""",5,Washington Square Press,Mass Market Paperback,281,2002,1590,,2020/05/23,,,read,,,,1,0
